GPS latitude,GPS longitude,GPS altitude,GPS speed,GPS accuracy,GPS orientation,GPS satellites In range,Time since start,Date,Accelerometer X,Accelerometer Y,Accelerometer Z,Gravity X,Gravity Y,Gravity Z,Gyroscope (Yaw),Gyroscope (Pitch),Gyroscope (Roll),Magnetic field X,Magnetic field Y,Magnetic field Z,Orientation (Yaw),Orientation (Pitch),Orientation (Roll),GNSS valid,Indicated vehicle speed,Yaw rate,Indicated longitudinal acceleration,Indicated lateral acceleration
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,0.0,2019-09-08 11:07:19:546,0.822100,-0.928300,9.118100,0.009100,-0.005400,9.806600,-0.0167000,0.0375000,-0.0161000,-10.000,-28.560,31.250,349.650,-83.030,-171.280,1,57.784,0.00000,0.000000,0.000000
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,100.0,2019-09-08 11:07:19:645,0.692200,-0.145400,8.669600,-0.012000,0.021800,9.806600,-0.0859000,0.0420000,0.0195000,-10.940,-28.560,31.560,348.410,-83.050,-171.340,1,58.050,-2.36000,0.738889,-0.664185
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,200.0,2019-09-08 11:07:19:746,0.021400,0.297300,9.866300,-0.017300,0.008900,9.806600,-0.0657000,0.0135000,0.0372000,-10.870,-28.440,31.560,350.190,-83.220,-169.820,1,57.989,3.14000,-0.169444,0.882775
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,300.0,2019-09-08 11:07:19:846,-0.084200,-0.735400,10.828100,0.010000,-0.040500,9.806500,0.0413000,0.0082000,-0.0305000,-10.690,-28.000,31.380,350.140,-83.290,-169.280,1,58.086,-6.00000,0.269444,-1.689653
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,400.0,2019-09-08 11:07:19:946,0.273100,-1.048000,9.998300,0.017800,-0.013600,9.806500,0.0683000,-0.0048000,-0.0120000,-11.000,-27.690,31.190,348.890,-83.090,-170.360,1,57.391,1.90000,-1.930556,0.528655
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,500.0,2019-09-08 11:07:20:045,0.256500,-0.446700,9.771800,-0.001400,0.026300,9.806600,-0.0881000,0.0523000,-0.0376000,-10.440,-28.060,31.060,349.870,-83.280,-171.170,1,58.316,-3.90000,2.569444,-1.102623
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,600.0,2019-09-08 11:07:20:145,0.016400,0.817100,9.981100,0.006500,0.033100,9.806500,-0.0583000,0.0130000,-0.0054000,-10.370,-28.500,31.250,348.360,-83.450,-172.550,1,58.226,0.94000,-0.250000,0.265350
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,700.0,2019-09-08 11:07:20:245,0.678300,-0.224800,10.244400,0.017500,-0.027000,9.806500,-0.0053000,-0.0022000,0.0013000,-10.500,-28.250,31.060,347.850,-83.480,-173.020,1,57.827,-4.40000,-1.108333,-1.233554
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,800.0,2019-09-08 11:07:20:345,0.498600,0.015100,10.282900,0.007700,-0.044900,9.806500,-0.0947000,0.0753000,-0.0627000,-10.060,-27.870,31.190,347.390,-83.400,-173.420,1,58.072,-0.06000,0.680556,-0.016892
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,900.0,2019-09-08 11:07:20:445,0.326900,0.535200,9.724900,-0.020000,0.041100,9.806500,0.1250000,0.0040000,-0.0040000,-10.810,-28.440,31.560,346.750,-83.020,-172.870,1,57.575,2.47000,-1.380556,0.689455
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1000.0,2019-09-08 11:07:20:545,-0.610700,-0.229900,9.737900,-0.018000,0.036400,9.806500,0.1231000,-0.0446000,0.0615000,-10.560,-28.370,31.750,347.960,-83.280,-171.830,1,57.920,2.51000,0.958333,0.704818
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1100.0,2019-09-08 11:07:20:646,-0.210100,-1.359000,10.158900,0.006200,-0.034500,9.806600,-0.1423000,0.0363000,-0.0160000,-10.190,-28.440,31.560,350.530,-83.180,-171.110,1,57.578,-6.26000,-0.950000,-1.747454
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1200.0,2019-09-08 11:07:20:746,-0.654900,1.720800,9.798100,0.022500,-0.031200,9.806500,-0.1926000,0.0001000,0.0017000,-10.500,-28.750,31.060,348.910,-83.250,-171.980,1,57.337,-1.71000,-0.669444,-0.475342
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1300.0,2019-09-08 11:07:20:846,0.101400,0.196700,9.646700,-0.001600,0.009100,9.806600,0.1447000,0.0009000,-0.0153000,-11.000,-28.620,31.310,346.740,-83.330,-172.290,1,57.013,-3.27000,-0.900000,-0.903850
52.40950800,-1.59690400,181.710,16.0300,3.00,180.430,24,1400.0,2019-09-08 11:07:20:946,-0.426100,-0.330400,10.439200,0.008900,-0.029700,9.806600,-0.0182000,0.0266000,-0.0191000,-11.120,-28.190,31.880,347.370,-83.180,-172.340,1,57.359,6.34000,0.961111,1.763054
